ime,Sedež,Svetovni rang 2025,Tržna kapitalzicija Dec-25-2022 (Billion $),Svetovni rang Jan 2022,Tržna vrednost Jan 2022 (Billion $),Kategorija,Število zaposlenih,Letni dohodek (Million $),Neto dohodek (Million $)
SCHLUMBERGER,USA,179,75,394,49,Energy,99000,28091,3441
CHINA SHENHUA ENERGY COMPANY,China,180,75,277,65,Energy,76182,52662,8107
AIR LIQUIDE,France,181,74,195,84,Basic Materials,67100,25714,2834
VERTEX PHARMACEUTICALS,USA,182,74,323,56,Healthcare,4500,8930,3322
HINDUSTAN UNILEVER,India,183,74,221,76,Consumer Defensive,21000,6528,1111
BECTON DICKINSON AND COMPANY,USA,184,72,233,72,Healthcare,77000,18870,1689
GLAXOSMITHKLINE,UK,185,72,132,110,Healthcare,70000,44655,5740
VOLKSWAGEN,Germany,186,72,106,134,Consumer Cyclical,668000,250120,14839
SWATCH GROUP AG,Switzerland,187,72,190,86,Consumer Cyclical,31444,7774,813
COMPAGNIE FINANCIERE RICHEMONT SA,Switzerland,188,71,194,85,Consumer Cyclical,35853,19915,2153
ZURICH INSURANCE GROUP AG,Switzerland,189,71,259,68,Financial Services,59400,65801,5203
IBERDROLA,Spain,190,71,236,72,Utilities,45000,43104,4281
CHINA PETROLEUM &amp; CHEMICAL CORPORATION (SINOPEC),China,191,71,215,78,Energy,384065,398860,10474
BNP PARIBAS,France,192,71,172,90,Financial Services,190000,0,10456
CANADIAN PACIFIC RAILWAY,Canada,193,70,245,70,Industries,12754,6386,2278
PRICEWATERHOUSECOOPERS,UK,193,,193,,Professional Services,295371,43000,
MERCEDEC BENZ GROUP AG,Germany,194,70,179,89,Consumer Cyclical,288481,203830,2773
AIR PRODUCTS AND CHEMICALS,USA,195,69,270,66,Basic Materials,21900,12698,2256
CHARTER COMMUNICATIONS,USA,196,68,135,109,Communication Services,101700,54022,5055
PETROLEO BRASILEIRO - PETROBRAS,Brazil,197,68,256,69,Energy,45149,97143,22891
SBERBANK OF RUSSIA,Russia,197,,197,84,Financial Services,285555,0,11256
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),Saudi Arabia,198,68,165,94,Basic Materials,32000,46634,6151
ILLINOIS TOOL WORKS,USA,199,68,218,77,Industries,46000,15932,3034
ALLERGAN,Ireland,200,,200,,Healthcare,17400,16080,
GENERAL DYNAMICS CORPORATION,USA,200,68,307,59,Industries,106500,39407,3390
PUBLIX,USA,200,,200,,Retail,232000,38100,
HCA HEALTHCARE,USA,201,68,213,78,Healthcare,294000,60233,5643
ZOETIS,USA,202,68,156,100,Healthcare,13800,8080,2114
PT BANK CENTRAL ASIA TBK,Indonesia,203,67,269,66,Financial Services,26123,5425,2127
GAZPROM,Russia,204,67,136,108,Energy,473800,168300,34221
KDDI CORPORATION,Japan,205,67,257,68,Communication Services,48829,39745,4907
CHINA YANGTZE POWER,China,206,66,210,79,Utilities,4077,8098,3823
3M COMPANY,USA,207,66,147,104,Industries,92000,334230,5777
AXA,France,208,66,226,75,Financial Services,145000,111660,7098
COLGATE-PALMOLIVE COMPANY,USA,209,66,242,71,Consumer Defensive,33800,17967,1785
U.S. BANCORP,USA,210,66,173,90,Financial Services,77000,24184,5501
BOSTON SCIENTIFIC CORPORATION,USA,211,66,301,60,Healthcare,51000,12682,642
TARGET CORPORATION,USA,212,66,131,111,Consumer Defensive,440000,109120,2780
RELIANCE JIO,India,212,,212,,Telecom,,12184,1691
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,China,213,66,282,64,Consumer Cyclical,10780,5426,1400
CSX CORPORATION,USA,214,66,198,83,Industries,22500,14853,4166
WASTE MANAGEMENT,USA,215,65,260,68,Industries,49500,19698,2238
HUMANA,USA,216,65,414,47,Healthcare,67100,92870,2806
DBS GROUP HOLDINGS,Singapore,217,65,276,65,Financial Services,33000,10281,4937
WAL-MART DE MEXICO,Mexico,218,65,287,63,Consumer Defensive,239000,37060,2222
STATE BANK OF INDIA,India,219,64,310,59,Financial Services,245642,27958,4422
NATIONAL AUSTRALIA BANK,Australia,220,64,253,69,Financial Services,34944,11549,4397
FISERV,USA,221,64,237,72,Financial Services,41000,17737,2530
NONGFU SPRING,China,222,64,261,67,Beverages,,4321,1042
ROSNEFT OIL COMPANY,Russia,223,,223,75,Energy,315000,78849,7947
BANK OF MONTREAL,Canada,223,64,227,73,Financial Services,46722,20692,5775
SOFTBANK GROUP,Japan,224,63,202,81,Communication Services,59721,45399,-12463
SHERWIN-WILLIAMS COMPANY,USA,225,63,192,85,Basic Materials,64366,22148,2020
THE PNC FINANCIAL SERVICES GROUP,USA,226,63,164,95,Financial Services,61545,21114,5735
CNOOC LIMITED,China,227,62,393,49,Energy,18703,23007,3632
EATON CORPORATION,Ireland,228,62,262,67,Industries,92000,19628,2144
CME GROUP,USA,229,62,204,81,Financial Services,3460,5019,2657
AON,USA,230,62,292,62,Financial Services,50000,12479,2589
DAIICHI SANKYO COMPANY,Japan,231,62,499,41,Healthcare,16500,7625,489
CANADIAN NATURAL RESOURCES,Canada,232,62,331,56,Energy,10035,24010,6122
KERING,France,233,62,153,101,Consumer Cyclical,42637,19445,3499
FAST RETAILING,Japan,234,61,351,54,Consumer Cyclical,57600,17491,1393
EQUINIX,USA,235,61,249,70,Real Estate,12097,7263,704
ACTIVISION BLIZZARD,USA,236,59,387,50,Communication Services,13000,7528,1513
CROWN CASTLE INTERNATIONAL CORPORATION,USA,237,59,196,84,Real Estate,5000,6986,1675
VERBUND AG,Austria,238,59,332,56,Utilities,3435,4776,873
UBS GROUP AG,Switzerland,239,59,265,67,Financial Services,74022,0,7457
AMERICA MOVIL,Mexico,240,59,268,66,Communication Services,181205,43076,9870
HDFC,India,241,59,291,62,Financial Services,166890,12743,4825
BAYERISCHE MOTOREN WERKE (BMW),Germany,242,58,244,71,Consumer Cyclical,149475,111210,12378
BANK OF NOVA SCOTIA,Canada,243,58,184,88,Financial Services,90979,23771,7221
OCCIDENTAL PETROLEUM CORPORATION,USA,244,58,683,31,Energy,11973,36634,12421
PSBC (POSTAL SAVINGS BANK OF CHINA),China,245,58,209,79,Financial Services,194527,31817,10855
ERNST &amp; YOUNG,UK,245,,245,,Financial Services,312250,36400,
INTERCONTINENTAL EXCHANGE,USA,246,57,225,75,Financial Services,8911,9636,1446
NORFOLK SOUTHERN CORPORATION,USA,247,57,234,72,Industries,19300,12745,3270
NATIONAL COMMERCIAL BANK,Saudi Arabia,248,57,207,80,Financial Services,13334,,3378
METLIFE,USA,249,57,322,57,Financial Services,45000,69898,2354
NOVATEK,Russia,250,,250,69,Energy,16821,10411,3896
ABB,Switzerland,250,57,222,76,Industries,105130,28945,4546
TRUIST FINANCIAL CORPORATION,USA,251,57,187,87,Financial Services,51169,23035,5927
VINCI,France,252,56,299,61,Industries,265303,55080,2862
LAM RESEARCH CORPORATION,USA,253,56,166,94,Technology,17700,17227,4605
EMERSON ELECTRIC COMPANY,USA,254,56,321,57,Industries,85500,19629,3231
ATLAS COPCO AB,Sweden,255,55,214,78,Industries,41272,11646,1904
ENEL,Italy,256,55,208,80,Utilities,66438,94862,3117
ALDI,Germany,256,,256,,Retail,25000,62540,
INVESTOR AB (PUBL),Sweden,257,55,216,77,Financial Services,20054,5459,23947
DOLLAR GENERAL CORPORATION,USA,258,55,336,55,Consumer Defensive,158000,37844,2415
SIEMENS HEALTHINEERS AG,Germany,259,55,203,81,Healthcare,66000,19833,1904
HONG KONG EXCHANGES AND CLEARING (HKEX),Hong Kong,260,55,229,73,Financial Services,2372,2484,1599
SUMITOMO MITSUI FINANCIAL GROUP,Japan,261,55,392,49,Financial Services,101000,25639,5293
WESTPAC BANKING CORPORATION,Australia,262,55,320,57,Financial Services,40143,14552,3780
BLACKSTONE GROUP,USA,263,55,199,83,Financial Services,4695,7132,1747
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,China,264,55,289,62,Healthcare,9819,3677,1164
MICRON TECHNOLOGY,USA,265,55,142,106,Technology,48000,30758,8687
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,China,266,55,235,72,Consumer Defensive,6058,3928,1048
BHARTI AIRTEL,India,267,55,366,52,Communication Services,48600,14588,533
FREEPORT-MCMORAN,USA,268,54,295,62,Basic Materials,25600,22780,3468
PIONEER NATURAL RESOURCES COMPANY,USA,269,54,400,49,Energy,2076,24384,7830
AMERICAN INTERNATIONAL GROUP (AIG),USA,270,54,384,50,Financial Services,26200,56539,10247
MCKESSON CORPORATION,USA,271,54,535,38,Healthcare,75000,263970,1114
THOMSON REUTERS CORPORATION,Canada,272,54,339,55,Industries,25200,4881,4373
MARATHON PETROLEUM CORPORATION,USA,273,54,455,44,Energy,17800,177450,14516
KLA CORPORATION,USA,274,53,284,63,Technology,14000,9211,3321
RELX,UK,275,53,311,59,Communication Services,35700,9482,1926
SAFRAN,France,276,53,345,54,Industries,77008,16677,47
WHATSAPP,USA,276,,276,,Technology,55,,
SOFTBANK CORP.,Japan,277,53,306,59,Communication Services,59721,41524,3776
MONSTER BEVERAGE CORPORATION,USA,278,53,388,50,Consumer Defensive,5296,6311,1191
CHINA TELECOM CORPORATION,China,279,53,319,57,Communication Services,281192,69054,4076
LIFE INSURANCE CORPORATION OF INDIA,India,280,53,207,,Insurance,114000,85803,572
MIDEA GROUP,China,281,52,191,85,Technology,149239,49966,4158
ANGLO AMERICAN,UK,282,52,303,59,Basic Materials,95000,41554,8562
O&#039;REILLY AUTOMOTIVE,USA,283,52,425,46,Consumer Cyclical,87745,14409,2172
ENTERPRISE PRODUCTS PARTNERS,USA,284,52,373,51,Energy,7130,58186,5487
ARCHER-DANIELS-MIDLAND COMPANY,USA,285,52,522,39,Consumer Defensive,38332,101850,4340
BROOKFIELD CORPORATION,Canada,286,52,,,Asset Management,200000,,
VMWARE,USA,287,52,381,51,Technology,38300,13350,1314
KEURIG DR PEPPER,USA,288,52,357,53,Consumer Defensive,28000,14057,1436
INDUSTRIAL BANK,China,289,51,267,66,Financial Services,60500,32492,12154
ADANI ENTERPRISES,India,290,51,840,25,Energy,2042,8675,97
MOODY&#039;S CORPORATION,USA,291,51,251,69,Financial Services,14426,5468,1374
ENI S.P.A.,Italy,292,51,364,52,Energy,32188,84380,6753
AIRBNB,USA,293,51,144,106,Internet or Mobile App Based Business,6811,8399,1893
SHIN-ETSU CHEMICAL,Japan,294,51,240,71,Basic Materials,24954,15137,3649
BAYER,Germany,295,51,344,54,Healthcare,101369,48577,1102
DOMINION ENERGY,USA,296,51,278,65,Utilities,17200,17174,901
PERNOD RICARD,France,297,51,300,60,Consumer Defensive,18915,8821,1305
RECRUIT HOLDINGS,Japan,298,50,175,90,Industries,49370,20955,2166
GENERAL MILLS,USA,299,50,486,41,Consumer Defensive,32500,18992,2707
RECKITT BENCKISER GROUP,UK,300,50,293,62,Consumer Defensive,40000,17323,-42
ITC,India,301,50,574,36,Consumer Defensive,36500,7520,1908
NINTENDO,Japan,302,50,343,55,Communication Services,6717,12371,3486
PUBLIC STORAGE,USA,303,50,290,62,Real Estate,5900,4182,4142
KRAFT HEINZ COMPANY,USA,304,50,431,46,Consumer Defensive,37000,26485,2363
PJSC LUKOIL,Russia,305,,305,59,Energy,101000,110010,9018
SHANXI XINGHUACUN FEN WINE FACTORY,China,305,50,324,56,Consumer Defensive,9276,2906,773
EDF (ELECTRICITE DE FRANCE),France,306,50,557,37,Utilities,12831,93076,5635
SEMPRA ENERGY,USA,307,50,449,44,Utilities,20000,14439,2094
BANCO SANTANDER,Spain,308,49,296,61,Financial Services,206462,0,8953
AMERICAN ELECTRIC POWER COMPANY,USA,309,49,439,45,Utilities,16974,19639,2307
UBER TECHNOLOGIES,USA,310,49,205,81,Technology,32800,31877,-9141
PHILLIPS 66,USA,311,49,576,36,Energy,13000,169990,11024
SYNOPSYS,USA,312,49,379,51,Technology,19000,5081,984
THE HERSHEY COMPANY,USA,313,48,506,40,Consumer Defensive,19865,10419,1644
HITACHI,Japan,314,48,326,56,Industries,397732,74901,4258
GENERAL MOTORS COMPANY,USA,315,48,174,90,Consumer Cyclical,167000,156740,8915
TAKEDA PHARMACEUTICAL COMPANY,Japan,316,48,468,43,Healthcare,47347,26043,1679
VALERO ENERGY CORPORATION,USA,317,48,627,33,Energy,9743,176380,11528
LONDON STOCK EXCHANGE GROUP,UK,318,48,352,54,Financial Services,24158,8823,4096
PACIFICORP,USA,319,48,338,55,Utilities,5700,5679,920
ANZ BANKING GROUP,Australia,320,48,317,57,Financial Services,39196,12519,4326
SAUDI TELECOM COMPANY (STC),Saudi Arabia,321,47,302,60,Communication Services,17000,16911,3016
MITSUBISHI CORPORATION,Japan,322,47,404,48,Industries,80728,125980,6841
PT BANK RAKYAT INDONESIA (PERSERO) TBK,Indonesia,323,47,450,44,Financial Services,78897,10409,2103
SOUTHERN COPPER CORPORATION,Mexico,324,47,389,50,Basic Materials,15018,10934,3397
ITAU UNIBANCO HOLDING,Brazil,325,47,524,39,Financial Services,99598,23879,5245
MARRIOTT INTERNATIONAL,USA,326,47,347,54,Consumer Cyclical,377000,20773,2358
BAJAJ FINANCE,India,327,47,294,62,Financial Services,26969,2522,880
HANGZHOU HIKVISION DIGITAL TECHNOLOGY,China,328,47,230,73,Technology,42685,11848,2445
NETEASE,China,329,47,263,67,Communication Services,28239,13763,2648
LUZHOU LAOJIAO,China,330,47,346,54,Consumer Defensive,3228,3004,1158
CINTAS CORPORATION,USA,331,46,488,41,Industries,43000,7854,1229
DASSAULT SYSTEMES,France,332,46,241,71,Technology,20496,5356,852
ITOCHU CORPORATION,Japan,333,46,429,46,Industries,115000,89705,5986
KIMBERLY-CLARK CORPORATION,USA,334,46,401,48,Consumer Defensive,44000,20175,1934
CENTENE CORPORATION,USA,335,46,445,45,Healthcare,74300,144550,1202
OPEN JOINT STOCK COMPANY OMZ,Russia,335,,335,55,Industries,,387,-77
STELLANTIS N.V,Netherlands,336,46,280,65,Automobile,272367,164660,15648
FIRST ABU DHABI BANK,UAE,337,,337,55,Banking Services,5451,,3411
TOKYO ELECTRON LIMITED,Japan,337,46,185,87,Technology,15140,14622,3189
MITSUI &amp; CO.,Japan,338,46,521,39,Conglomerate,44336,85795,6675
EDWARDS LIFESCIENCES CORPORATION,USA,339,46,220,76,Healthcare,17300,5382,1521
